brand,archetype,id,name,category,source_universe,lat,lng,state,municipality,locality,density_proxy_3x3_001deg,density_stratum,nearest_m,n_within_250m,n_within_500m,n_within_800m,n_within_1000m,n_within_1500m,n_within_2000m,n_within_3000m
OXXO,conveniencia,DENUE_9393452,OXXO SUC 507FK VILLAS DEL REFUGIO QRF,autoservicio,seen_prod_denue,20.65336283,-100.33804393,Querétaro,El Marqués,La Pradera,422,Q2_media_baja,465.7548737010835,0,2,7,8,12,17,22
OXXO,conveniencia,DENUE_9439175,OXXO SUC 50SC9 SANTA CLARA QRF,autoservicio,seen_prod_denue,20.65603825,-100.3345997,Querétaro,El Marqués,La Pradera,422,Q2_media_baja,465.7548737010835,0,1,2,8,10,14,23
OXXO,conveniencia,DENUE_6405326,OXXO SUC 50TEH TEOTIHUACAN MAF,autoservicio,seen_prod_denue,25.83089268,-97.45242835,Tamaulipas,Matamoros,Heroica Matamoros,571,Q2_media_baja,465.7824366597128,0,1,2,3,9,16,31
OXXO,conveniencia,DENUE_9435539,OXXO SUC 50NU8 FUNDADORES MAF,autoservicio,seen_prod_denue,25.83506683,-97.45203845,Tamaulipas,Matamoros,Heroica Matamoros,571,Q2_media_baja,465.7824366597128,0,1,2,6,10,19,31
OXXO,conveniencia,DENUE_9419474,OXXO SUC 508UP TREN NORTE GDL,autoservicio,seen_prod_denue,20.73078842,-103.35194584,Jalisco,Zapopan,Zapopan,1722,Q4_alta,465.88379067449375,0,3,5,7,12,21,41
OXXO,conveniencia,DENUE_6367068,OXXO SUC 50PHX PRES. SABINAS MTY,autoservicio,seen_prod_denue,26.49969762,-100.18191288,Nuevo León,Sabinas Hidalgo,Ciudad Sabinas Hidalgo,322,Q1_baja,465.9461606142827,0,2,5,5,7,8,9
OXXO,conveniencia,DENUE_9403580,OXXO SUC 50M6P INN8 CUL,autoservicio,seen_prod_denue,24.80079501,-107.466017,Sinaloa,Culiacán,Culiacán Rosales,211,Q1_baja,465.965329509409,0,1,2,4,6,8,23
OXXO,conveniencia,DENUE_6356425,OXXO SUC 50PAF PLASTICOS MEX,autoservicio,seen_prod_denue,19.46624,-99.21904954,México,Naucalpan de Juárez,Naucalpan de Juárez,1360,Q3_media_alta,466.02908595349356,0,1,5,7,14,20,42
OXXO,conveniencia,DENUE_6404534,OXXO SUC 50NJA NUEVA REFINERA REX,autoservicio,seen_prod_denue,26.04991782,-98.38278118,Tamaulipas,Reynosa,Reynosa,455,Q2_media_baja,466.0544738892568,0,1,3,3,7,10,22
OXXO,conveniencia,DENUE_6854886,OXXO SUC 50FUS ALAMOS MTY,autoservicio,seen_prod_denue,25.59536713,-100.26026973,Nuevo León,Monterrey,Monterrey,332,Q1_baja,466.14221236371174,0,1,5,9,11,18,26
OXXO,conveniencia,DENUE_6367073,OXXO SUC 50VJC V. DE LA HUASTECA MTY,autoservicio,seen_prod_denue,25.70408226,-100.45566529,Nuevo León,Santa Catarina,Ciudad Santa Catarina,518,Q2_media_baja,466.3385920895005,0,1,2,4,9,13,24
OXXO,conveniencia,DENUE_6796819,OXXO SUC 50DT7 MISION DE LAS VILLAS MTY,autoservicio,seen_prod_denue,25.70112581,-100.4523641,Nuevo León,Santa Catarina,Ciudad Santa Catarina,518,Q2_media_baja,466.3385920895005,0,1,2,5,12,14,28
OXXO,conveniencia,DENUE_9401512,OXXO SUC 50X7T VALLE DE SAN PEDRO MTY,autoservicio,seen_prod_denue,25.62554159,-100.10852251,Nuevo León,Juárez,Ciudad Benito Juárez,408,Q2_media_baja,466.38370622993745,0,1,4,6,12,17,40
OXXO,conveniencia,DENUE_9416091,OXXO SUC 501L1 ANDALUCIA PAC,autoservicio,seen_prod_denue,19.88314739,-98.93426583,Hidalgo,Tizayuca,Andalucía Residencial [Fraccionamiento],374,Q1_baja,466.4124426327003,0,1,1,2,5,5,7
